(2.36e-5, 8.73e-5, 5.00e-5)	(-1.5353069583073564e-4, 1.415187811165401e-7, 9.071885484561237e-21)	-9.894360562838796e-3
(2.36e-5, 1.03e-4, 5.00e-5)	(-1.774114027837302e-4, 1.567310620100293e-7, 1.4670126440848863e-20)	-9.894452850623956e-3
(2.36e-5, 1.19e-4, 5.00e-5)	(-2.0004570693864284e-4, 1.7319179695416245e-7, 1.704628691669256e-20)	-9.894512568946755e-3
(2.36e-5, 1.35e-4, 5.00e-5)	(-2.2143373959960784e-4, 1.9090470209384657e-7, 1.927137694642678e-20)	-9.894557122022961e-3
(2.36e-5, 1.51e-4, 5.00e-5)	(-2.4157548713315283e-4, 2.098091424630372e-7, 2.231484053377387e-20)	-9.894593889898506e-3
(2.36e-5, 1.67e-4, 5.00e-5)	(-2.6047087037794014e-4, 2.2982929526539885e-7, 2.2770919754424564e-20)	-9.894626289289143e-3
(2.36e-5, 1.83e-4, 5.00e-5)	(-2.781197854281499e-4, 2.5089056697749506e-7, 2.3182120904796394e-20)	-9.894656039921913e-3
(2.36e-5, 1.98e-4, 5.00e-5)	(-2.9452212324282233e-4, 2.729256383080409e-7, 2.2587734200481732e-20)	-9.89468412502616e-3
(2.36e-5, 2.14e-4, 5.00e-5)	(-3.0967777890529975e-4, 2.958758808636873e-7, 2.5085987735242042e-20)	-9.89471116466197e-3
(2.36e-5, 2.30e-4, 5.00e-5)	(-3.2358665575029884e-4, 3.196912815131641e-7, 2.6149518781505173e-20)	-9.894737594213984e-3
(2.36e-5, 2.46e-4, 5.00e-5)	(-3.3624866713984314e-4, 3.443298209958116e-7, 2.639550645506725e-20)	-9.894763735741179e-3
(2.36e-5, 2.62e-4, 5.00e-5)	(-3.47663736969233e-4, 3.6975672053777715e-7, 2.43833722663208e-20)	-9.894789859336122e-3
(2.36e-5, 2.78e-4, 5.00e-5)	(-3.5783179970496774e-4, 3.959437242755716e-7, 2.3405580044221073e-20)	-9.89481617717497e-3
(2.36e-5, 2.94e-4, 5.00e-5)	(-3.6675280008473173e-4, 4.228684843511526e-7, 2.1347585680938356e-20)	-9.89484290645482e-3
(2.36e-5, 3.10e-4, 5.00e-5)	(-3.7442669284311255e-4, 4.505140251918545e-7, 1.6139844191651176e-20)	-9.894870209321057e-3
(2.36e-5, 3.25e-4, 5.00e-5)	(-3.808534423438715e-4, 4.788683428169139e-7, 1.437755429663551e-20)	-9.894898294885716e-3
(2.36e-5, 3.41e-4, 5.00e-5)	(-3.860330223897054e-4, 5.079240588764592e-7, 1.2375110481349099e-20)	-9.894927304315812e-3
(2.36e-5, 3.57e-4, 5.00e-5)	(-3.8996541600410376e-4, 5.376781955533414e-7, 7.327973440511867e-21)	-9.894957454862133e-3
(2.36e-5, 3.73e-4, 5.00e-5)	(-3.926506154586683e-4, 5.681319639998415e-7, -5.5090628228131015e-22)	-9.894988894518503e-3
(2.36e-5, 3.89e-4, 5.00e-5)	(-3.9408862226441086e-4, 5.992907987030345e-7, 2.968375868256821e-20)	-9.895021844044888e-3
(2.36e-5, 4.05e-4, 5.00e-5)	(-3.9427944704496705e-4, 6.311638939931121e-7, -1.3348197430264366e-20)	-9.895056510002175e-3
(2.36e-5, 4.21e-4, 5.00e-5)	(-3.9322311491104953e-4, 6.637646530126078e-7, -9.745692413859539e-21)	-9.895093098223954e-3
(2.36e-5, 4.37e-4, 5.00e-5)	(-3.9091965696131384e-4, 6.971108215087331e-7, -3.1078142161558558e-21)	-9.89513186241856e-3
(2.36e-5, 4.52e-4, 5.00e-5)	(-3.873691159944457e-4, 7.312240252016909e-7, 3.67589127666035e-21)	-9.895173075935156e-3
(2.36e-5, 4.68e-4, 5.00e-5)	(-3.825715470785803e-4, 7.66130350721053e-7, 6.587999427098425e-21)	-9.895217032724866e-3
(2.36e-5, 4.84e-4, 5.00e-5)	(-3.765270187601935e-4, 8.018603680837417e-7, 1.1687704021641458e-20)	-9.895264072733787e-3
(2.36e-5, 5.00e-4, 5.00e-5)	(-3.6923561473256106e-4, 8.384494100102858e-7, 1.585300734524472e-20)	-9.895314575126091e-3
(2.36e-5, 5.16e-4, 5.00e-5)	(-3.6069743582148144e-4, 8.759378130432101e-7, 1.5707089543788045e-20)	-9.89536897653514e-3
(2.36e-5, 5.32e-4, 5.00e-5)	(-3.509126025608095e-4, 9.143712279677486e-7, 1.9022288556477464e-20)	-9.895427778990716e-3
(2.36e-5, 5.48e-4, 5.00e-5)	(-3.3988125833499244e-4, 9.538009528368492e-7, 2.4507111086332992e-20)	-9.895491567009482e-3
(2.36e-5, 5.63e-4, 5.00e-5)	(-3.2760357340537455e-4, 9.94284284526121e-7, 4.320209873397944e-20)	-9.895561027443094e-3
(2.36e-5, 5.79e-4, 5.00e-5)	(-3.1407974992402564e-4, 1.0358848962868439e-6, 4.367270390459599e-20)	-9.895636975317599e-3
(2.36e-5, 5.95e-4, 5.00e-5)	(-2.9931002837669233e-4, 1.0786731752776739e-6, 1.2612394904175095e-20)	-9.895720389447327e-3
(2.36e-5, 6.11e-4, 5.00e-5)	(-2.832946957899046e-4, 1.1227265359404703e-6, 2.943021371150066e-20)	-9.895812459276834e-3
(2.36e-5, 6.27e-4, 5.00e-5)	(-2.660340964246832e-4, 1.1681295680247147e-6, 4.215856037137658e-20)	-9.895914650975285e-3
(2.36e-5, 6.43e-4, 5.00e-5)	(-2.4752864576945793e-4, 1.2149739815513824e-6, 1.6709095505919273e-20)	-9.896028799736495e-3
(2.36e-5, 6.59e-4, 5.00e-5)	(-2.2777884921549202e-4, 1.2633580495126578e-6, 3.467498516017854e-20)	-9.896157244779007e-3
(2.36e-5, 6.75e-4, 5.00e-5)	(-2.0678532733723094e-4, 1.3133852896216185e-6, 4.953291341651988e-20)	-9.89630303068216e-3
(2.36e-5, 6.90e-4, 5.00e-5)	(-1.8454885088097154e-4, 1.3651615947476102e-6, 1.9524104091513333e-20)	-9.896470224784668e-3
(2.36e-5, 7.06e-4, 5.00e-5)	(-1.6107039037227617e-4, 1.41878975079972e-6, 1.0028888707859091e-20)	-9.896664434788085e-3
